         !	:	         1
         #	:	         2
         $	:	         3
         %	:	         4
         &	:	         5
         '	:	         6
        ''	:	         7
      '30s	:	         8
      '40s	:	         9
      '50s	:	        10
      '60s	:	        11
       '68	:	        12
      '70s	:	        13
       '71	:	        14
      '80s	:	        15
       '82	:	        16
       '86	:	        17
       '87	:	        18
      '90s	:	        19
    'Cause	:	        20
       'Em	:	        21
        'N	:	        22
        'S	:	        23
       'T-	:	        24
        'd	:	        25
       'em	:	        26
       'll	:	        27
        'm	:	        28
       'n'	:	        29
       're	:	        30
        's	:	        31
      'til	:	        32
       've	:	        33
         (	:	        34
         )	:	        35
         *	:	        36
       *\*	:	        37
         ,	:	        38
         -	:	        39
        --	:	        40
     -0.06	:	        41
         .	:	        42
       ...	:	        43
      .125	:	        44
       .23	:	        45
      .270	:	        46
       .50	:	        47
     .9.82	:	        48
     .what	:	        49
         0	:	        50
    0.0002	:	        51
    0.0003	:	        52
    0.0015	:	        53
    0.0018	:	        54
    0.0040	:	        55
    0.0047	:	        56
    0.0055	:	        57
    0.0075	:	        58
    0.0085	:	        59
      0.01	:	        60
    0.0100	:	        61
    0.0108	:	        62
    0.0115	:	        63
    0.0182	:	        64
      0.02	:	        65
     0.025	:	        66
      0.03	:	        67
    0.0343	:	        68
      0.05	:	        69
      0.06	:	        70
      0.07	:	        71
       0.1	:	        72
      0.10	:	        73
      0.11	:	        74
      0.12	:	        75
      0.13	:	        76
      0.14	:	        77
      0.15	:	        78
      0.16	:	        79
      0.17	:	        80
      0.18	:	        81
      0.19	:	        82
       0.2	:	        83
      0.20	:	        84
      0.22	:	        85
      0.23	:	        86
      0.24	:	        87
      0.25	:	        88
      0.26	:	        89
      0.27	:	        90
     0.272	:	        91
      0.28	:	        92
       0.3	:	        93
      0.30	:	        94
      0.31	:	        95
      0.32	:	        96
      0.35	:	        97
      0.36	:	        98
      0.37	:	        99
     0.375	:	       100
      0.39	:	       101
       0.4	:	       102
      0.43	:	       103
      0.44	:	       104
      0.45	:	       105
      0.47	:	       106
      0.48	:	       107
       0.5	:	       108
      0.50	:	       109
      0.51	:	       110
      0.53	:	       111
      0.54	:	       112
      0.55	:	       113
      0.56	:	       114
      0.57	:	       115
      0.58	:	       116
      0.59	:	       117
       0.6	:	       118
      0.60	:	       119
  0.628394	:	       120
    0.6287	:	       121
      0.63	:	       122
      0.65	:	       123
      0.66	:	       124
       0.7	:	       125
      0.70	:	       126
      0.71	:	       127
      0.73	:	       128
      0.75	:	       129
      0.76	:	       130
       0.8	:	       131
      0.82	:	       132
      0.84	:	       133
      0.85	:	       134
      0.86	:	       135
      0.88	:	       136
      0.89	:	       137
       0.9	:	       138
      0.91	:	       139
      0.92	:	       140
      0.94	:	       141
      0.95	:	       142
      0.99	:	       143
         1	:	       144
 1%-a-year	:	       145
     1,000	:	       146
1,000-ship	:	       147
     1,001	:	       148
 1,003,884	:	       149
     1,010	:	       150
     1,012	:	       151
     1,013	:	       152
     1,014	:	       153
     1,015	:	       154
 1,022,000	:	       155
  1,026.46	:	       156
     1,027	:	       157
     1,030	:	       158
 1,035,000	:	       159
     1,040	:	       160
1,048,500,000	:	       161
     1,050	:	       162
 1,050,000	:	       163
  1,059.04	:	       164
     1,062	:	       165
 1,063,946	:	       166
 1,068,000	:	       167
 1,070,000	:	       168
     1,074	:	       169
 1,075,000	:	       170
     1,087	:	       171
     1,100	:	       172
1,100-parcel-a-week	:	       173
  1,103.11	:	       174
     1,108	:	       175
     1,111	:	       176
     1,118	:	       177
     1,120	:	       178
 1,120,317	:	       179
     1,124	:	       180
     1,130	:	       181
     1,141	:	       182
     1,143	:	       183
     1,150	:	       184
 1,150,000	:	       185
     1,155	:	       186
     1,174	:	       187
 1,177,000	:	       188
     1,200	:	       189
 1,200,000	:	       190
1,200-year-old	:	       191
     1,214	:	       192
     1,222	:	       193
     1,224	:	       194
 1,234,100	:	       195
     1,235	:	       196
     1,240	:	       197
     1,244	:	       198
     1,250	:	       199
 1,250,000	:	       200
 1,263,000	:	       201
     1,271	:	       202
 1,275,000	:	       203
     1,290	:	       204
 1,296,000	:	       205
 1,296,800	:	       206
     1,298	:	       207
     1,300	:	       208
 1,300,000	:	       209
1,300-member	:	       210
     1,310	:	       211
 1,325,900	:	       212
     1,327	:	       213
 1,342,264	:	       214
 1,350,000	:	       215
 1,351,662	:	       216
 1,365,226	:	       217
     1,368	:	       218
     1,376	:	       219
 1,380,000	:	       220
 1,384,119	:	       221
     1,400	:	       222
 1,400,000	:	       223
1,400-lawyer	:	       224
1,400-member	:	       225
 1,402,000	:	       226
 1,425,035	:	       227
     1,430	:	       228
 1,430,000	:	       229
     1,435	:	       230
     1,450	:	       231
 1,450,635	:	       232
 1,455,000	:	       233
 1,458,000	:	       234
     1,460	:	       235
 1,475,000	:	       236
     1,480	:	       237
     1,482	:	       238
     1,490	:	       239
     1,500	:	       240
 1,500,000	:	       241
     1,510	:	       242
     1,520	:	       243
 1,531,000	:	       244
 1,534,600	:	       245
     1,550	:	       246
     1,570	:	       247
     1,600	:	       248
 1,616,000	:	       249
     1,620	:	       250
